"","s1","genes"
"OSCP1",-0.00275899858765402,"OSCP1"
"CTBS",0.657396770449028,"CTBS"
"RCAN3",-0.407210286645484,"RCAN3"
"NRP2",-0.408885485145691,"NRP2"
"PMFBP1",0.478830282906939,"PMFBP1"
"KLF9",2.49565641832639,"KLF9"
"CTNNAL1",-0.00101123974432965,"CTNNAL1"
"NEK6",-0.946949224445093,"NEK6"
"ONECUT2",-0.928276697734762,"ONECUT2"
"DNMT3A",-0.132698913300896,"DNMT3A"
"CNNM1",0.0012510479916977,"CNNM1"
"MOB3B",0.0769628554566006,"MOB3B"
"KCNJ5",1.52651525176864,"KCNJ5"
"TAF12",-0.269333981666127,"TAF12"
"CLU",0.4989206036268,"CLU"
"SORBS3",1.40433099852837,"SORBS3"
"TSHZ3",-0.3002236149014,"TSHZ3"
"ECHDC2",1.10289924085791,"ECHDC2"
"FABP3",0.609600275317865,"FABP3"
"LIAS",0.945662695683751,"LIAS"
"CLTA",-0.0224265555463251,"CLTA"
"CIT",0.288645565758761,"CIT"
"CDKN2C",0.0397953889368055,"CDKN2C"
"ORMDL2",-0.255946670651027,"ORMDL2"
"IKZF4",-0.00194019249439883,"IKZF4"
"IL13RA2",1.73139609580062,"IL13RA2"
"FAM199X",-0.37371048608116,"FAM199X"
"RAB38",-1.60310585820117,"RAB38"
"PARD6B",-0.332718708225651,"PARD6B"
"MRS2",-0.0712375190594553,"MRS2"
"RRP36",-0.33106083705581,"RRP36"
"CCDC93",0.0583215833281874,"CCDC93"
"FLRT3",-0.0256780872748871,"FLRT3"
"MCF2L",0.0861427272774959,"MCF2L"
"PLEKHG3",0.796448283242753,"PLEKHG3"
"BCL11B",-0.00773612740117766,"BCL11B"
"TNFRSF19",-0.601940645901182,"TNFRSF19"
"PPAT",-0.348030352121871,"PPAT"
"TST",-0.0524957461992894,"TST"
"CLN6",0.423923794477142,"CLN6"
"SOX15",1.76302231399052,"SOX15"
"SNX6",-0.478138966151289,"SNX6"
"CBFA2T3",-0.275104921077173,"CBFA2T3"
"PRKCSH",-0.00316188035989536,"PRKCSH"
"GDF15",-1.36354309809834,"GDF15"
"THEMIS2",0.980662138135309,"THEMIS2"
"RGN",0.42325200212082,"RGN"
"GALNT15",3.13802998825328,"GALNT15"
"SLC6A6",0.732837243075024,"SLC6A6"
"KCNC3",0.545783039450847,"KCNC3"
"ACLY",-0.631785946027166,"ACLY"
"AOC2",0.895232214477783,"AOC2"
"PRKAB2",0.146664004920336,"PRKAB2"
"RHPN2",-0.00407664054798467,"RHPN2"
"RIN2",0.282684606496313,"RIN2"
"DSTYK",0.430952461791924,"DSTYK"
"KRAS",-0.0658449769888687,"KRAS"
"AP4B1",0.202020494482917,"AP4B1"
"CMPK2",0.284000703201088,"CMPK2"
"CCNH",0.000454681397748432,"CCNH"
"SLC43A3",0.813330623355504,"SLC43A3"
"DHX34",-0.0537911215691569,"DHX34"
"TMED7",-0.279054475780613,"TMED7"
"SMYD5",0.238543112513253,"SMYD5"
"MFSD9",0.0632417317417138,"MFSD9"
"TGFBRAP1",0.0310953860245945,"TGFBRAP1"
"PCDH8",0.0619186136162728,"PCDH8"
"IGF2BP3",-0.451399575017465,"IGF2BP3"
"DBNL",-0.062270468776549,"DBNL"
"STX17",0.0674400068256461,"STX17"
"TMEM8B",0.0871234972272587,"TMEM8B"
"HMGA1",-0.276676344581397,"HMGA1"
"IL18BP",1.09580108442843,"IL18BP"
"SORL1",0.52930827444677,"SORL1"
"PAK6",0.387494699264709,"PAK6"
"STAMBPL1",2.33539977537347,"STAMBPL1"
"ZNF365",5.72010836723118e-05,"ZNF365"
"NAB1",0.257142053397539,"NAB1"
"SHF",0.0230085993948568,"SHF"
"USO1",0.662875361673631,"USO1"
"SLC39A8",-0.68045077407955,"SLC39A8"
"FBN2",-0.00699650607603592,"FBN2"
"N4BP2L1",1.65647809838656,"N4BP2L1"
"VPS33A",-0.226604238423868,"VPS33A"
"VPS37B",0.237330826436528,"VPS37B"
"DENR",-0.522389504074067,"DENR"
"BNIP2",0.980669408228218,"BNIP2"
"NEIL1",1.51138184159416,"NEIL1"
"ABHD2",0.431696812929473,"ABHD2"
"SEC11A",-0.214116572791508,"SEC11A"
"DEF8",0.104042134220629,"DEF8"
"MED9",0.00129685442518523,"MED9"
"PCTP",-1.31576533355349,"PCTP"
"TOM1L1",-0.00229703664024155,"TOM1L1"
"ARSG",0.47666667522422,"ARSG"
"FBXO15",-0.676056749565159,"FBXO15"
"ERBB2",-0.370175280576223,"ERBB2"
"NFIC",0.293442768496845,"NFIC"
"SIRT3",-0.21443004466836,"SIRT3"
"ZNF473",-0.208024615459072,"ZNF473"
"PGD",-0.253189890972326,"PGD"
"CNKSR1",0.790845676099371,"CNKSR1"
"CTTNBP2NL",0.164321187663931,"CTTNBP2NL"
"ATP1B1",0.321730985852159,"ATP1B1"
"TUFT1",-0.701738058779011,"TUFT1"
"OAZ3",-2.31087108931049,"OAZ3"
"SMYD2",1.35515041775206,"SMYD2"
"DUSP10",0.159564489695952,"DUSP10"
"SYT2",-0.750939653878454,"SYT2"
"GALM",-0.133517041811837,"GALM"
"CHAC2",-0.0332751788313233,"CHAC2"
"MEIS1",-0.190191038669282,"MEIS1"
"POMGNT2",1.6471591793042,"POMGNT2"
"COL8A1",2.97126003311523,"COL8A1"
"SETD7",0.0268198786173746,"SETD7"
"HAPLN1",0.0849817845178829,"HAPLN1"
"IQGAP2",-0.111541976221299,"IQGAP2"
"CXCL14",0.828116709290978,"CXCL14"
"TRIM7",0.111996622461285,"TRIM7"
"RNF44",-0.881648435936262,"RNF44"
"DOK3",-0.430739727945352,"DOK3"
"ABRACL",-0.0670378391102406,"ABRACL"
"EGFR",0.0349633773499922,"EGFR"
"PURB",0.634109630946889,"PURB"
"FBXO25",0.00845275285655413,"FBXO25"
"MAL2",-0.324419665116631,"MAL2"
"ASB6",0.324991437669175,"ASB6"
"INA",-0.177214204737259,"INA"
"APIP",-0.7035636910681,"APIP"
"SLC43A1",1.35550474171149,"SLC43A1"
"NPAT",0.616286640987146,"NPAT"
"MPP7",-0.585711201879667,"MPP7"
"HNMT",0.410741795970578,"HNMT"
"PIH1D2",-0.633113851102486,"PIH1D2"
"TEX12",6.18378524606919,"TEX12"
"VIPAS39",0.268910640825538,"VIPAS39"
"BEND6",0.654129214319526,"BEND6"
"PSTPIP2",-1.79457570315704,"PSTPIP2"
"PDK1",-0.0729496214119192,"PDK1"
"SPARCL1",0.230281246537396,"SPARCL1"
"PELO",0.00474308571932663,"PELO"
"BMP3",-0.548491155585621,"BMP3"
"PTPRR",1.0751690157105,"PTPRR"
"LGI4",0.52161873055117,"LGI4"
"TRIM11",0.415857863031306,"TRIM11"
"ZNF18",-0.0152888200634624,"ZNF18"
"CYP2U1",1.98992578431624,"CYP2U1"
"SLC25A28",0.633953993031324,"SLC25A28"
"HEATR3",0.864156455692312,"HEATR3"
"ZKSCAN2",-0.263054658552986,"ZKSCAN2"
"FZD7",-0.488827884504362,"FZD7"
"ELMO1",0.110830862476415,"ELMO1"
"ADAMTS3",-0.852792782378676,"ADAMTS3"
"WHAMM",-0.209183913509609,"WHAMM"
"N6AMT1",-0.0253352566931214,"N6AMT1"
"TSPAN7",0.34701590273954,"TSPAN7"
"FGF18",-1.01672941418455,"FGF18"
"RAB11FIP1",-1.75715176683822,"RAB11FIP1"
"SSBP3",-0.162729282908987,"SSBP3"
"TSPAN18",-0.208660992879379,"TSPAN18"
"LDLRAP1",0.489043459122991,"LDLRAP1"
"NCK1",0.65780620631604,"NCK1"
"ABHD3",-0.132228473207455,"ABHD3"
"RIBC1",-1.79284084729224,"RIBC1"
"NRG2",0.46929389128984,"NRG2"
"GDPD5",-0.0632831351572632,"GDPD5"
"ELK4",0.209504768270321,"ELK4"
"NBL1",0.0569270369033254,"NBL1"
"RCAN1",-0.2759419278863,"RCAN1"
"IGF2BP1",-1.47771834225449,"IGF2BP1"
"SCUBE1",-1.00393207413471,"SCUBE1"
"CYB5R1",0.124204911664644,"CYB5R1"
"ALDH4A1",-0.0994525506747277,"ALDH4A1"
"NPR2",-0.223268228729678,"NPR2"
"TMEM234",-0.532364156424562,"TMEM234"
"LRRC3",-1.07898550858084,"LRRC3"
"PCSK7",0.653316992609697,"PCSK7"
"NLRX1",-1.16142780513043,"NLRX1"
"LARP4",-0.048087290246583,"LARP4"
"CXCL16",0.0442613937687451,"CXCL16"
"JMJD8",-0.154173374456818,"JMJD8"
"GNG3",0.182396327755668,"GNG3"
"MYSM1",0.148803506631357,"MYSM1"
"DNAJB4",0.00731279404808398,"DNAJB4"
"DUSP19",0.810114740367424,"DUSP19"
"VSNL1",0.244692237479644,"VSNL1"
"PAQR3",-0.987487216186432,"PAQR3"
"ANTXR2",-0.0934797002907924,"ANTXR2"
"CGGBP1",-0.307467202792123,"CGGBP1"
"HIPK1",0.261616957819812,"HIPK1"
"NEK10",0.275685001637392,"NEK10"
"FBLN2",1.61881750166513,"FBLN2"
"EFHB",-0.685413796053386,"EFHB"
"SMIM14",0.0430066040681096,"SMIM14"
"ABHD6",0.0542920615676194,"ABHD6"
"PRRT3",0.566763256412711,"PRRT3"
"SNRK",0.140583285845071,"SNRK"
"GRIK3",-0.00889383726052745,"GRIK3"
"UVSSA",-0.170298670780318,"UVSSA"
"PRSS12",0.131300139097797,"PRSS12"
"ANAPC10",0.304543564066116,"ANAPC10"
