"","s1","genes"
"CIT",0.209647767323872,"CIT"
"TUBA1B",0.192096615665147,"TUBA1B"
"IL13RA2",0.445400093458608,"IL13RA2"
"RAB38",-0.828305229143711,"RAB38"
"PARD6B",-0.765577568106419,"PARD6B"
"CPNE5",-0.121933728419366,"CPNE5"
"MIF4GD",-0.0916079693865504,"MIF4GD"
"MSTO1",0.109590332743335,"MSTO1"
"GRIA3",0.274546848721603,"GRIA3"
"AMOT",-0.469894991565857,"AMOT"
"BCL11B",-0.52163993312678,"BCL11B"
"LRFN1",0.00348607762121583,"LRFN1"
"PPAT",-0.124940618702905,"PPAT"
"CHN1",0.0241086431225395,"CHN1"
"MTUS1",-0.011766450265166,"MTUS1"
"ASS1",0.161736084224839,"ASS1"
"POMT1",0.341898475047527,"POMT1"
"GALNT15",2.31698132312432,"GALNT15"
"ACLY",-0.0435664327154876,"ACLY"
"ZCCHC9",-0.185475432999749,"ZCCHC9"
"PRKAB2",0.0459283139298852,"PRKAB2"
"RHPN2",-0.262067841753565,"RHPN2"
"IQCA1",-0.188944160611728,"IQCA1"
"PTPRA",0.0952594412486629,"PTPRA"
"SYT11",1.26186910617878,"SYT11"
"ZSWIM3",-0.0166533366065065,"ZSWIM3"
"MYH10",0.0555967768635551,"MYH10"
"DSTYK",0.286989217984569,"DSTYK"
"CAMK1",0.185010948624744,"CAMK1"
"PPHLN1",0.121595785391,"PPHLN1"
"DHX34",-0.0506544900329892,"DHX34"
"CCDC102A",-0.0844579447796607,"CCDC102A"
"MRPS9",0.342956122736131,"MRPS9"
"ANKRD36",0.961393254064314,"ANKRD36"
"PCDH8",0.543701668393059,"PCDH8"
"PHF11",0.212342131024874,"PHF11"
"IGF2BP3",-0.128653800171106,"IGF2BP3"
"TTYH3",-0.0376048199300249,"TTYH3"
"SMPD4",0.0302685146554523,"SMPD4"
"LRRC8A",0.0712281073826118,"LRRC8A"
"TMOD1",0.0835498014293784,"TMOD1"
"GMPR",-0.176533043264752,"GMPR"
"BPHL",-0.587122124581498,"BPHL"
"THBS1",0.112314603380423,"THBS1"
"RTF1",-2.25366894269791,"RTF1"
"TUBGCP4",0.0232703274476978,"TUBGCP4"
"PNPT1",0.278319645377645,"PNPT1"
"STAMBPL1",0.910995932902312,"STAMBPL1"
"NAB1",0.277484188781539,"NAB1"
"FASTKD1",0.0478578252282944,"FASTKD1"
"CIR1",-0.0901345927875526,"CIR1"
"MNS1",-0.284769469668858,"MNS1"
"APH1B",0.319327660254157,"APH1B"
"USO1",1.06734334010651,"USO1"
"PPFIA2",0.00177947303490576,"PPFIA2"
"N4BP2L1",0.549288748133793,"N4BP2L1"
"ESD",-0.432685412296828,"ESD"
"VPS37B",0.155634842037284,"VPS37B"
"DENR",-0.266384767572147,"DENR"
"NEIL1",0.608174640254833,"NEIL1"
"SEC11A",-0.491786817204113,"SEC11A"
"ADAMTS18",-0.0308558485990007,"ADAMTS18"
"ARSG",0.0248358610060746,"ARSG"
"GALNT1",-0.399412425185663,"GALNT1"
